Team name,Submission Time,Top-1 hr,Top-3 hr,Top-5 hr,Overall hr
RankMe, 2025-01-04, 0.0683, 0.2050, 0.2833, 0.1855
谭湘文, 2025-01-06, 0.4316, 0.6516, 0.7516, 0.6116
KON, 2025-01-06, 0.3383, 0.5900, 0.6850, 0.5377
LiLaiLai, 2025-01-07, 0.0533, 0.2450, 0.4050, 0.2344
RankMe, 2025-01-07, 0.0816, 0.2016, 0.3200, 0.2011
AwesomeAgent, 2025-01-07, 0.0533, 0.2400, 0.4033, 0.2322
Open-ZI,2025-01-08,0.0567,0.2483,0.4067,0.2372
AwesomeAgent,2025-01-08,0.2300,0.4383,0.6200,0.4294
Civilization,2025-01-08,0.0533,0.2333,0.3967,0.2278
RecHackers,2025-01-08,0.0500,0.2400,0.4050,0.2317
tsdxgxxb,2025-01-08,0.0600,0.2433,0.4017,0.2350
RecAgent,2025-01-08,0.0517,0.2133,0.3500,0.2050
谭湘文, 2025-01-08,0.3317,0.5767, 0.6883, 0.5322
Lie Flat Champion ,2025-01-09,0.4350,0.6583,0.7483,0.6139
谭湘文,2025-01-09,0.3033,0.5583,0.6867,0.5161
JustRec,2025-01-10,0.0533,0.2450,0.4067,0.2350
Lie Flat Champion ,2025-01-10,0.4117,0.6250,0.7300,0.5889
3095,2025-01-10,0.0533,0.2400,0.4017,0.2317
STD,2025-01-10,0.0533,0.2400,0.4033,0.2322
RecHackers,2025-01-10,0.0933,0.2183,0.3250,0.2122
谭湘文,2025-01-10,0.4350,0.6550,0.7500,0.6133
